Comment,Designator,Footprint,LCSC Part #
"nSMD005","F1","PAD-1206-PAD","C369153"
"nSMD005","F2","PAD-1206-PAD","C369153"
"nSMD005","F3","PAD-1206-PAD","C369153"
"nSMD005","F4","PAD-1206-PAD","C369153"
"nSMD005","F5","PAD-1206-PAD","C369153"
"1-1376430-0","J1","1-1376430-0",""
"Module:mega-mcu144/0.7","M1","mega-mcu144",""
"Module:motor-driver/0.1","M2","motor-driver",""
"Module:wbo/0.5","M3","wbo",""
"Module:can/0.1","M4","can",""
"Module:vr-discrete/0.5","M5","vr-discrete",""
"Module:vr-discrete/0.5","M6","vr-discrete",""
"Module:knock/0.2","M7","knock",""
"Module:power_12and5V/0.3","M8","power_12and5V",""
"Module:motor-driver/0.1","M9","motor-driver",""
"Module:knock/0.2","M13","knock",""
"Module:power_12and5V/0.3","M14","power_12and5V",""
"VND14NV04-E","Q1","DPAK","C155647"
"VND14NV04-E","Q2","DPAK"," C155647"
"VND14NV04-E","Q3","DPAK","C155647"
"VND14NV04-E","Q4","DPAK","C155647"
"VND14NV04-E","Q5","DPAK","C155647"
"VND14NV04-E","Q6","DPAK"," C155647"
"VND14NV04-E","Q7","DPAK","C155647"
"VND14NV04-E","Q8","DPAK","C155647"
"33k","R1","R0603","C4216"
"6.8k","R2","R0603","C23212"
"4.7k","R3","R0603","C23162"
"4.7k","R4","R0603","C23162"
"4.7k","R5","R0603","C23162"
"4.7k","R6","R0603","C23162"
"4.7k","R7","R0603","C23162"
"4.7k","R8","R0603","C23162"
"4.7k","R9","R0603","C23162"
"4.7k","R10","R0603","C23162"
