Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
F1,96.635000mm,68.765000mm,Top,0.0,96.635000mm,68.765000mm
F2,96.635000mm,65.645000mm,Top,0.0,96.635000mm,65.645000mm
F3,96.635000mm,62.525000mm,Top,0.0,96.635000mm,62.525000mm
F4,96.635000mm,59.405000mm,Top,0.0,96.635000mm,59.405000mm
F5,96.635000mm,56.285000mm,Top,0.0,96.635000mm,56.285000mm
J1,5.750000mm,109.100000mm,Top,0.0,5.750000mm,109.100000mm
M1,37.374999mm,68.074997mm,Top,0.0,37.374999mm,68.074997mm
M2,122.225000mm,45.975000mm,Top,0.0,122.225000mm,45.975000mm
M3,48.075000mm,32.275000mm,Top,0.0,48.075000mm,32.275000mm
M4,101.395000mm,62.738326mm,Top,0.0,101.395000mm,62.738326mm
M5,87.525000mm,34.462500mm,Top,0.0,87.525000mm,34.462500mm
M6,87.525000mm,23.412500mm,Top,0.0,87.525000mm,23.412500mm
M7,101.395000mm,58.194997mm,Top,0.0,101.395000mm,58.194997mm
M8,102.599999mm,1.549996mm,Top,0.0,102.599999mm,1.549996mm
M9,122.225000mm,34.725000mm,Top,0.0,122.225000mm,34.725000mm
M13,101.395000mm,53.644994mm,Top,0.0,101.395000mm,53.644994mm
M14,120.850001mm,1.549996mm,Top,0.0,120.850001mm,1.549996mm
Q1,97.600000mm,100.500000mm,Top,180.0,97.600000mm,100.500000mm
Q2,97.600000mm,92.450000mm,Top,180.0,97.600000mm,92.450000mm
Q3,97.600000mm,84.400000mm,Top,180.0,97.600000mm,84.400000mm
Q4,97.600000mm,76.350000mm,Top,180.0,97.600000mm,76.350000mm
Q5,115.050000mm,100.500000mm,Top,180.0,115.050000mm,100.500000mm
Q6,115.050000mm,92.450000mm,Top,180.0,115.050000mm,92.450000mm
Q7,115.050000mm,84.400000mm,Top,180.0,115.050000mm,84.400000mm
Q8,115.050000mm,76.350000mm,Top,180.0,115.050000mm,76.350000mm
R1,94.275000mm,53.748405mm,Top,0.0,94.275000mm,53.748405mm
R2,94.275000mm,51.799359mm,Top,0.0,94.275000mm,51.799359mm
R3,106.425000mm,103.548405mm,Top,0.0,106.425000mm,103.548405mm
R4,106.425000mm,101.599359mm,Top,0.0,106.425000mm,101.599359mm
R5,106.425000mm,99.650313mm,Top,0.0,106.425000mm,99.650313mm
R6,106.425000mm,97.701267mm,Top,0.0,106.425000mm,97.701267mm
R7,123.875000mm,103.548405mm,Top,0.0,123.875000mm,103.548405mm
R8,123.875000mm,101.599359mm,Top,0.0,123.875000mm,101.599359mm
R9,123.875000mm,99.650313mm,Top,0.0,123.875000mm,99.650313mm
R10,123.875000mm,97.701267mm,Top,0.0,123.875000mm,97.701267mm
